,Mario Andretti
681,>W. Clement Stone
682,>Ezra Taft Benson
683,>Marcus Garvey
684,>George Takei
685,>Bebe Rexha
686,>Charles Kingsley
687,>Vanessa Carlton
688,>Bill Cosby
689,>Kevin Feige
690,>John Wooden
691,>Leonardo da Vinci
692,>Charles Stanley
693,>Cate Blanchett
694,>Adam Sandler
695,>Mickey Rooney
696,>Alfred Lord Tennyson
697,>Jim Rohn
698,>Salman Rushdie
699,>Rumi
700,>Jerry Jeff Walker
701,>Plato
702,>Henry David Thoreau
703,>Marla Gibbs
704,>Honore de Balzac
705,>DJ Khaled
706,>Johnny Vegas
707,>J. Paul Getty
708,>Will Rogers
709,>Thomas A. Edison
710,>George Bernard Shaw
711,>Richard Brinsley Sheridan
712,>Shilpa Shetty
713,>Kylie Minogue
714,>Russell Baker
715,>H. L. Mencken
716,>Friedrich Nietzsche
717,>Joshua Oppenheimer
718,>Matt Haig
719,>James Huneker
720,>Mike Yaconelli
721,>Jamie Campbell Bower
722,>Judith Viorst
723,>Peter Marshall
724,>Graham Elliot
725,>H. G. Wells
726,>Alicia Keys
727,>John Burroughs
728,>Marc Faber
729,>Dionne Warwick
730,>Tommy Cooper
731,>James Madison
732,>Marie de France
733,>Khalil Gibran
734,>William Osler
735,>Anthony Bourdain
736,>Debra Winger
737,>Nora Ephron
738,>Albert Schweitzer
739,>Oliver Goldsmith
740,>Arthur Rimbaud
741,>Kevin Bacon
742,>Tony Robbins
743,>Jenny Lewis
744,>Maurice Chevalier
745,>Romain Grosjean
746,>Nathaniel Hawthorne
747,>Iris Murdoch
748,>Henri Nouwen
749,>Bernie Mac
750,>Alice Hamilton
751,>Vincent McNabb
752,>Gordon Bethune
753,>Anthony Bourdain
754,>Joely Richardson
755,>Steve Harvey
756,>Robert Patterson
757,>John Florio
758,>Ralph Marston
759,>Gordon B. Hinckley
760,>Salma Hayek
761,>Euripides
762,>Ngozi Okonjo-Iweala
763,>John Krasinski
764,>Napoleon Hill
765,>Ogden Nash
766,>Taylor Swift
767,>Karl A. Menninger
768,>Swami Sivananda
769,>Anne Wojcicki
770,>Donna Brazile
771,>Thornton Wilder
772,>Stevie Wonder
773,>Donald Johanson
774,>Shinzo Abe
775,">Donald Trump, Jr."
776,>Victoria Pendleton
777,>Tyga
778,>Benjamin Franklin
779,>Isabel Allende
780,>Samuel Butler
781,>Susan Decker
782,>David H. Murdock
783,>Jason Calacanis
784,>Peter Benchley
785,>Kenneth Branagh
786,>Hill Harper
787,>Hugh Grant
788,>Dominique Dawes
789,>Noah Baumbach
790,>Jean Ingelow
791,>W. Somerset Maugham
792,>Robert J. Sawyer
793,>William Eardley IV
794,>Adam McKay
795,>Henry Ward Beecher
796,>Florence Nightingale
797,>Ram Dass
798,>Gordon B. Hinckley
799,>Tim Tebow
800,>Shinichi Suzuki
801,>Friedrich Nietzsche
802,>Heston Blumenthal
803,>Evel Knievel
804,>Errol Flynn
805,>James A. Baldwin
806,>BJ the Chicago Kid
807,>Anton Chekhov
808,>Arthur C. Danto
809,>Armaan Malik
810,>Sherrod Brown
811,>Marcus Samuelsson
812,>Lawrence Welk
813,>Ray Comfort
814,>John F. Kennedy
815,>P. J. O'Rourke
816,>Henry David Thoreau
817,>Miuccia Prada
818,>Sandra Bullock
819,>Thomas Jefferson
820,>Ray Bradbury
821,>Dwayne Johnson
822,>Carl Honore
823,>Mary Wilson Little
824,>Blair Underwood
825,>John Ridley
826,>Carrie Underwood
827,>Katharine Lee Bates
828,>George S. Patton
829,>Eric Idle
830,>Francis Bacon
